Id,Style
155,American IPA
156,American IPA
157,American Stout
158,American IPA
159,American IPA
160,American Pale Ale
161,Saison
162,American Pale Ale
163,American IPA
164,American Pale Ale
165,American Light Lager
166,American Pale Ale
167,American IPA
168,American Stout
169,American IPA
170,American IPA
171,American IPA
172,American Light Lager
173,American IPA
174,American Stout
175,American Pale Ale
176,American Pale Ale
177,American Brown Ale
178,American Light Lager
179,American Stout
180,Witbier
181,Imperial IPA
182,American IPA
183,Witbier
184,Saison
185,American IPA
186,American IPA
187,American Pale Ale
188,American Pale Ale
189,American IPA
190,American Pale Ale
191,American Pale Ale
192,American IPA
193,American Pale Ale
194,Saison
195,Blonde Ale
196,American Stout
197,American Brown Ale
198,American Pale Ale
199,American IPA
200,American IPA
201,American Pale Ale
202,American IPA
203,Saison
204,Saison
205,American IPA
206,Blonde Ale
207,American Pale Ale
208,American Pale Ale
209,Irish Red Ale
210,American IPA
211,Saison
212,American IPA
213,Irish Red Ale
214,American IPA
215,American Pale Ale
216,Saison
217,American Pale Ale
218,Blonde Ale
219,American Light Lager
220,American IPA
221,American IPA
222,American Pale Ale
223,American IPA
224,American IPA
225,American IPA
226,American Amber Ale
227,American IPA
228,Saison
229,Saison
230,Saison
231,American Brown Ale
232,American IPA
233,Irish Red Ale
234,American Brown Ale
235,American Pale Ale
236,American Stout
237,American Pale Ale
238,American Pale Ale
239,American IPA
240,American Stout
241,Irish Red Ale
242,American IPA
243,American IPA
244,American Brown Ale
245,Blonde Ale
246,American Stout
247,American Pale Ale
248,Saison
249,Blonde Ale
250,American IPA
251,Imperial IPA
252,American IPA
253,American Pale Ale
254,Witbier
255,American Stout
256,American Stout
257,American Amber Ale
258,Saison
259,American Pale Ale
260,American Brown Ale
261,Irish Red Ale
262,American IPA
263,American IPA
264,American IPA
265,Irish Red Ale
266,American IPA
267,American Brown Ale
268,American IPA
269,Irish Red Ale
270,Irish Red Ale
271,American IPA
272,American Pale Ale
273,American IPA
274,American Pale Ale
275,American Amber Ale
276,American Light Lager
277,American Brown Ale
278,American Stout
279,Witbier
280,American Pale Ale
281,American IPA
282,American IPA
283,Irish Red Ale
284,American IPA
285,American IPA
286,American Light Lager
287,Saison
288,American IPA
289,American IPA
290,American Light Lager
291,American Pale Ale
292,American IPA
293,American IPA
294,American Pale Ale
295,American Light Lager
296,American IPA
297,American Pale Ale
298,Saison
299,American Pale Ale
300,American Stout
301,Blonde Ale
302,American Pale Ale
303,American IPA
304,American IPA
305,American IPA
306,American Brown Ale
307,American Brown Ale
308,Imperial IPA
309,American Pale Ale
310,Blonde Ale
311,American Pale Ale
312,American IPA
313,Blonde Ale
314,American Pale Ale
315,American IPA
316,American IPA
317,Imperial IPA
318,American IPA
319,American IPA
320,Saison
321,American Pale Ale
322,American Light Lager
323,American Brown Ale
324,American IPA
325,American IPA
326,Irish Red Ale
327,American IPA
328,American Brown Ale
329,American Pale Ale
330,American Stout
331,American Brown Ale
332,American Light Lager
333,Saison
334,American Pale Ale
335,American Pale Ale
336,American Light Lager
337,American IPA
338,American Pale Ale
339,American IPA
340,American Pale Ale
341,American IPA
342,American IPA
343,American IPA
344,American IPA
345,American IPA
346,Imperial IPA
347,American IPA
348,American Pale Ale
349,American Stout
350,American Pale Ale
351,American Pale Ale
352,Saison
353,American Light Lager
354,American IPA
355,Irish Red Ale
356,American IPA
357,American IPA
358,American IPA
359,American Pale Ale
360,American IPA
361,American IPA
362,Saison
363,American Stout
364,American Pale Ale
365,American Amber Ale
366,American Light Lager
367,American Light Lager
368,American Pale Ale
369,Witbier
370,Irish Red Ale
371,American Pale Ale
372,Imperial IPA
373,American Pale Ale
374,American IPA
375,American Pale Ale
376,American IPA
377,American IPA
378,American Pale Ale
379,American IPA
380,Irish Red Ale
381,American Pale Ale
382,Blonde Ale
383,American IPA
384,American Pale Ale
385,Blonde Ale
386,American IPA
387,Blonde Ale
388,Witbier
389,American Light Lager
390,Saison
391,American IPA
392,American IPA
393,American Amber Ale
394,American Pale Ale
395,American IPA
396,Saison
397,American Pale Ale
398,American IPA
399,American IPA
400,American IPA
401,American Pale Ale
402,American Light Lager
403,American Pale Ale
404,American Pale Ale
405,Saison
406,American IPA
407,American Brown Ale
408,Irish Red Ale
409,American IPA
410,American IPA
411,American IPA
412,American Pale Ale
413,American IPA
414,American IPA
415,American IPA
416,Witbier
417,American Light Lager
418,American IPA
419,American Amber Ale
420,American IPA
421,American IPA
422,American Amber Ale
423,American Pale Ale
424,American IPA
425,American Light Lager
426,American Pale Ale
427,Blonde Ale
428,American IPA
429,American IPA
430,American IPA
431,American Pale Ale
432,American IPA
433,American Pale Ale
434,American Stout
435,American Pale Ale
436,Witbier
437,American Amber Ale
438,American IPA
439,American Light Lager
440,American Pale Ale
441,American Amber Ale
442,American Brown Ale
443,Witbier
444,American Light Lager
445,American IPA
446,Witbier
447,American Amber Ale
448,Saison
449,American IPA
450,American IPA
451,American IPA
452,Saison
453,Imperial IPA
454,American IPA
455,American Pale Ale
456,Imperial IPA
457,American IPA
458,American IPA
459,American Pale Ale
460,American Pale Ale
461,American IPA
462,American Amber Ale
463,American Pale Ale
464,Blonde Ale
465,American IPA
466,American IPA
467,American Amber Ale
468,American Stout
469,American IPA
470,American IPA
471,Saison
472,Saison
473,Saison
474,American Pale Ale
475,American Pale Ale
476,American Light Lager
477,American IPA
478,American Amber Ale
479,American IPA
480,American IPA
481,American Light Lager
482,American Light Lager
483,American IPA
484,Witbier
485,American IPA
486,American Pale Ale
487,Irish Red Ale
488,American IPA
489,American Stout
490,Blonde Ale
491,Irish Red Ale
492,American Pale Ale
493,American Stout
494,American Pale Ale
495,American Pale Ale
496,Witbier
497,Imperial IPA
498,American IPA
499,American IPA
500,American Pale Ale
501,American IPA
502,Blonde Ale
503,American Stout
504,American Light Lager
505,American Pale Ale
506,American IPA
507,American IPA
508,American Stout
509,American IPA
510,American Pale Ale
511,Imperial IPA
512,American Brown Ale
513,American IPA
514,American Pale Ale
515,American IPA
516,American Light Lager
517,American Stout
518,American IPA
519,Irish Red Ale
520,American IPA
521,American Brown Ale
522,American IPA
523,Witbier
524,Imperial IPA
525,American Brown Ale
526,American Light Lager
527,American Pale Ale
528,American IPA
529,American Stout
530,American Pale Ale
531,American Pale Ale
532,Blonde Ale
533,American Pale Ale
534,American IPA
535,American Pale Ale
536,American Pale Ale
537,American Pale Ale
538,American IPA
539,Imperial IPA
540,American IPA
541,American Pale Ale
542,American IPA
543,American IPA
544,American Brown Ale
545,American IPA
546,American IPA
547,American IPA
548,American Brown Ale
549,American Brown Ale
550,American Pale Ale
551,American Pale Ale
552,Blonde Ale
553,American Amber Ale
554,American IPA
555,Irish Red Ale
556,American IPA
557,American Light Lager
558,American IPA
559,American Brown Ale
560,Witbier
561,American IPA
562,American IPA
563,American IPA
564,American IPA
565,American Pale Ale
566,American IPA
567,American Light Lager
568,Imperial IPA
569,American Light Lager
570,American Pale Ale
571,American Amber Ale
572,American IPA
573,American Stout
574,American IPA
575,American IPA
576,American IPA
577,American Pale Ale
578,Irish Red Ale
579,American Pale Ale
580,Irish Red Ale
581,Witbier
582,American Light Lager
583,Blonde Ale
584,American IPA
585,American Pale Ale
586,American IPA
587,American IPA
588,American Pale Ale
589,American IPA
590,American Amber Ale
591,American Pale Ale
592,American IPA
593,Witbier
594,American IPA
595,American Pale Ale
596,American Pale Ale
597,Witbier
598,Saison
599,American Pale Ale
600,Saison
601,Irish Red Ale
602,American IPA
603,American IPA
604,American Pale Ale
605,Irish Red Ale
606,American Amber Ale
607,Saison
608,American Pale Ale
609,American IPA
610,American IPA
611,American Stout
612,American IPA
613,American IPA
614,American Amber Ale
615,American IPA
616,American Amber Ale
617,American Pale Ale
618,American IPA
619,American IPA
620,American Pale Ale
621,American Pale Ale
622,American IPA
623,American Pale Ale
624,American IPA
625,American IPA
626,Saison
627,American Pale Ale
628,American Pale Ale
629,American IPA
630,Saison
631,American IPA
632,American IPA
633,Saison
634,Witbier
635,American Pale Ale
636,American IPA
637,Blonde Ale
638,American Brown Ale
639,American Pale Ale
640,American Pale Ale
641,American Amber Ale
642,American Pale Ale
643,American Pale Ale
644,American Pale Ale
645,American IPA
646,American Brown Ale
647,American Brown Ale
648,Imperial IPA
649,Saison
650,American Pale Ale
651,American Pale Ale
652,American Pale Ale
653,American Pale Ale
654,American IPA
655,American IPA
656,American IPA
657,American IPA
658,American Pale Ale
659,American Pale Ale
660,American Brown Ale
661,American Pale Ale
662,American Pale Ale
663,Imperial IPA
664,American IPA
665,Blonde Ale
666,American IPA
667,Blonde Ale
668,American IPA
669,Saison
670,Witbier
671,Blonde Ale
672,American Pale Ale
673,American IPA
674,American IPA
675,American Light Lager
676,American IPA
677,American IPA
678,American IPA
679,American Amber Ale
680,Saison
681,American Pale Ale
682,American Pale Ale
683,Irish Red Ale
684,American Brown Ale
685,American IPA
686,Saison
687,American Stout
688,American IPA
689,American Pale Ale
690,American IPA
691,American Pale Ale
692,American Pale Ale
693,American Pale Ale
694,Witbier
695,American Pale Ale
696,American IPA
697,American IPA
698,American Amber Ale
699,American IPA
700,American Pale Ale
701,American IPA
702,American IPA
703,American Pale Ale
704,American Pale Ale
705,Irish Red Ale
706,American Stout
707,American IPA
708,American Pale Ale
709,American Stout
710,American Brown Ale
711,American Pale Ale
712,American IPA
713,American IPA
714,American Pale Ale
715,Saison
716,American IPA
717,American Light Lager
718,Irish Red Ale
719,Saison
720,American Light Lager
721,Blonde Ale
722,American Pale Ale
723,American IPA
724,American IPA
725,American Pale Ale
726,American IPA
727,American IPA
728,American IPA
729,American Brown Ale
730,American IPA
731,American Pale Ale
732,Saison
733,American Pale Ale
734,Blonde Ale
735,American Pale Ale
736,American Pale Ale
737,American IPA
738,American IPA
739,American IPA
740,American IPA
741,American Stout
742,American Light Lager
743,American IPA
744,American IPA
745,Blonde Ale
746,American IPA
747,American Pale Ale
748,American Pale Ale
749,American Pale Ale
750,American IPA
751,American IPA
752,Saison
753,American Light Lager
754,Saison
755,Saison
756,American IPA
757,Imperial IPA
758,American IPA
759,American Pale Ale
760,Irish Red Ale
761,American Light Lager
762,American IPA
763,American Pale Ale
764,American Pale Ale
765,Saison
766,Irish Red Ale
767,Imperial IPA
768,American Pale Ale
769,American Stout
770,Blonde Ale
771,American IPA
772,American IPA
773,American IPA
774,American IPA
775,Blonde Ale
776,American Pale Ale
777,American IPA
778,American Pale Ale
779,Irish Red Ale
780,American Pale Ale
781,American IPA
782,American Stout
783,American Pale Ale
784,Saison
785,American IPA
786,American Amber Ale
787,Saison
788,American Brown Ale
789,American Pale Ale
790,American Pale Ale
791,American IPA
792,American IPA
793,American IPA
794,Saison
795,American Brown Ale
796,American Pale Ale
797,Saison
798,American Pale Ale
799,American Pale Ale
800,American Pale Ale
801,American IPA
802,American IPA
803,American Stout
804,Blonde Ale
805,American Stout
806,American Stout
807,American Pale Ale
808,American Brown Ale
809,Blonde Ale
810,American IPA
811,American Amber Ale
812,American IPA
813,American Light Lager
814,American IPA
815,American Pale Ale
816,American Brown Ale
817,American Stout
818,Imperial IPA
819,American IPA
820,American Light Lager
821,American Pale Ale
822,American Brown Ale
823,American Amber Ale
824,American IPA
825,Imperial IPA
826,American Light Lager
827,American Pale Ale
828,Blonde Ale
829,American IPA
830,American IPA
831,American Brown Ale
832,American Brown Ale
833,American IPA
834,American Light Lager
835,American IPA
836,Irish Red Ale
837,American Amber Ale
838,American IPA
839,American IPA
840,Saison
841,American IPA
842,American IPA
843,Blonde Ale
844,American IPA
845,American IPA
846,American Brown Ale
847,American Pale Ale
848,American Pale Ale
849,Saison
850,American Pale Ale
851,American Stout
852,Witbier
853,American IPA
854,American Amber Ale
855,Blonde Ale
856,American Pale Ale
857,American IPA
858,American IPA
859,American IPA
860,American Amber Ale
861,American IPA
862,Witbier
863,American IPA
864,American Brown Ale
865,American Pale Ale
866,Saison
867,American IPA
868,Imperial IPA
869,American Stout
870,American Amber Ale
871,American IPA
872,American IPA
873,Imperial IPA
874,American IPA
875,American IPA
876,American IPA
877,American IPA
878,American Pale Ale
879,American IPA
880,American IPA
881,American IPA
882,American IPA
883,American Pale Ale
884,American Brown Ale
885,American Pale Ale
886,Imperial IPA
887,Saison
888,American Pale Ale
889,American IPA
890,American IPA
891,Imperial IPA
892,American Pale Ale
893,American Pale Ale
894,American Brown Ale
895,Saison
896,American IPA
897,Irish Red Ale
898,Imperial IPA
899,American IPA
900,American Stout
901,Imperial IPA
902,American IPA
903,Saison
904,American Pale Ale
905,American IPA
906,American Pale Ale
907,American Pale Ale
908,American IPA
909,American Stout
910,American IPA
911,American Pale Ale
912,American IPA
913,American Brown Ale
914,Witbier
915,Imperial IPA
916,American IPA
917,American Pale Ale
918,American Stout
919,American Stout
920,Blonde Ale
921,Imperial IPA
922,American Pale Ale
923,American IPA
924,American Pale Ale
925,American Amber Ale
926,Imperial IPA
927,Saison
928,Saison
929,American Stout
930,Saison
931,American Brown Ale
932,Imperial IPA
933,Witbier
934,Witbier
935,American IPA
936,American Pale Ale
937,American IPA
938,American Pale Ale
939,American Pale Ale
940,Blonde Ale
941,Blonde Ale
942,Saison
943,American Pale Ale
944,American IPA
945,Saison
946,Saison
947,American IPA
948,Blonde Ale
949,American IPA
950,American Pale Ale
951,American Light Lager
952,American Pale Ale
953,American IPA
954,American IPA
955,American IPA
956,American IPA
957,American Pale Ale
958,American Pale Ale
959,American IPA
960,Saison
961,Saison
962,American IPA
963,American Pale Ale
964,American Pale Ale
965,American IPA
966,American Pale Ale
967,American IPA
968,American IPA
969,American IPA
970,American Amber Ale
971,Saison
972,American IPA
973,American IPA
974,American IPA
975,American IPA
976,American IPA
977,American IPA
978,American Stout
979,American IPA
980,Saison
981,American Amber Ale
982,American Brown Ale
983,Irish Red Ale
984,American IPA
985,American IPA
986,American Brown Ale
987,American IPA
988,American Pale Ale
989,Saison
990,Imperial IPA
991,American Brown Ale
992,American Light Lager
993,American Amber Ale
994,American Light Lager
995,Blonde Ale
996,Saison
997,American Stout
998,Saison
999,American Brown Ale
1000,American IPA
1001,American IPA
1002,American Brown Ale
1003,American Brown Ale
1004,American Pale Ale
1005,American IPA
1006,Witbier
1007,American Pale Ale
1008,American IPA
1009,American Pale Ale
1010,Imperial IPA
1011,American Pale Ale
1012,American IPA
1013,American Amber Ale
1014,American IPA
1015,American IPA
1016,American IPA
1017,American IPA
1018,American Pale Ale
1019,American IPA
1020,American IPA
1021,American Pale Ale
1022,Blonde Ale
1023,American Pale Ale
1024,American IPA
1025,Saison
1026,American IPA
1027,American Stout
1028,American Brown Ale
1029,American IPA
1030,American IPA
1031,American Pale Ale
1032,American IPA
1033,American Brown Ale
1034,American IPA
1035,Imperial IPA
1036,Witbier
1037,American Stout
1038,American Pale Ale
1039,American IPA
1040,American Light Lager
1041,American IPA
1042,American Pale Ale
1043,American IPA
1044,American Pale Ale
1045,American Amber Ale
1046,Saison
1047,American IPA
1048,American IPA
1049,American IPA
1050,American IPA
1051,American Brown Ale
1052,Imperial IPA
1053,American Amber Ale
1054,American IPA
1055,American Pale Ale
1056,American Pale Ale
1057,American IPA
1058,Blonde Ale
1059,American IPA
1060,American Pale Ale
1061,American Pale Ale
1062,American IPA
1063,American Light Lager
1064,American Pale Ale
1065,American Brown Ale
1066,American Light Lager
1067,American IPA
1068,American Pale Ale
1069,Witbier
1070,American IPA
1071,American Pale Ale
1072,American IPA
1073,American IPA
1074,American IPA
1075,American Light Lager
1076,American Stout
1077,American Stout
1078,American Pale Ale
1079,Irish Red Ale
1080,Blonde Ale
1081,American Brown Ale
1082,American IPA
1083,American IPA
1084,American IPA
1085,American IPA
1086,American Pale Ale
1087,American IPA
1088,American Stout
1089,Irish Red Ale
1090,American IPA
1091,Saison
1092,Irish Red Ale
1093,Saison
1094,Saison
1095,Saison
1096,American Light Lager
1097,American Brown Ale
1098,American IPA
1099,American Pale Ale
1100,American IPA
1101,American Light Lager
1102,American Brown Ale
1103,Imperial IPA
1104,American IPA
1105,American IPA
1106,American IPA
1107,American Stout
1108,Saison
1109,American IPA
1110,Saison
1111,American Light Lager
1112,Irish Red Ale
1113,American Pale Ale
1114,American Amber Ale
1115,American IPA
1116,American Stout
1117,Witbier
1118,Blonde Ale
1119,American Light Lager
1120,American IPA
1121,American Amber Ale
1122,American Pale Ale
1123,Imperial IPA
1124,American IPA
1125,Irish Red Ale
1126,American IPA
1127,American Pale Ale
1128,American Light Lager
1129,American IPA
1130,Blonde Ale
1131,American IPA
1132,American IPA
1133,Imperial IPA
1134,American Amber Ale
1135,American IPA
1136,American IPA
1137,American Pale Ale
1138,Irish Red Ale
1139,American Pale Ale
1140,American Stout
1141,American Pale Ale
1142,Saison
1143,American IPA
1144,American IPA
1145,American IPA
1146,Saison
1147,American IPA
1148,American Light Lager
1149,Blonde Ale
1150,Irish Red Ale
1151,American Pale Ale
1152,Saison
1153,American Brown Ale
1154,American IPA
1155,American IPA
1156,American Amber Ale
1157,American IPA
1158,American Light Lager
1159,Irish Red Ale
1160,Blonde Ale
1161,Saison
1162,American Pale Ale
1163,American Pale Ale
1164,American IPA
1165,American Pale Ale
1166,American Stout
1167,Blonde Ale
1168,American IPA
1169,American IPA
1170,American Amber Ale
1171,American Light Lager
1172,American Light Lager
1173,American Light Lager
1174,American IPA
1175,American Pale Ale
1176,American IPA
1177,American IPA
1178,Imperial IPA
1179,American IPA
1180,American Brown Ale
1181,American Amber Ale
1182,American IPA
1183,American Stout
1184,American IPA
1185,Saison
1186,American Pale Ale
1187,American Pale Ale
1188,American Pale Ale
1189,Imperial IPA
1190,Witbier
1191,American IPA
1192,American IPA
1193,American IPA
1194,American Stout
1195,American IPA
1196,American Pale Ale
1197,American Brown Ale
1198,Blonde Ale
1199,American IPA
1200,American Light Lager
1201,American IPA
1202,American IPA
1203,American Pale Ale
1204,American Pale Ale
1205,American Stout
1206,American IPA
1207,American Pale Ale
1208,American IPA
1209,American Pale Ale
1210,American IPA
1211,Imperial IPA
1212,American IPA
1213,Irish Red Ale
1214,Irish Red Ale
1215,American IPA
1216,American Pale Ale
1217,American Stout
1218,American IPA
1219,American IPA
1220,American IPA
1221,American IPA
1222,American Pale Ale
1223,American Pale Ale
1224,American Pale Ale
1225,American Pale Ale
1226,American IPA
1227,American Pale Ale
1228,American Amber Ale
1229,American IPA
1230,American IPA
1231,American Stout
1232,American IPA
1233,American IPA
1234,American Pale Ale
1235,American Brown Ale
1236,American Pale Ale
1237,Blonde Ale
1238,American IPA
1239,American IPA
1240,American IPA
1241,American IPA
1242,Imperial IPA
1243,American Brown Ale
1244,Blonde Ale
1245,American Light Lager
1246,American Pale Ale
1247,American IPA
1248,American IPA
1249,American Pale Ale
1250,American IPA
1251,American Pale Ale
1252,American IPA
1253,American IPA
1254,American Pale Ale
1255,American Light Lager
1256,American Pale Ale
1257,American IPA
1258,American IPA
1259,American IPA
1260,American IPA
1261,American IPA
1262,American IPA
1263,Witbier
1264,American IPA
1265,American Pale Ale
1266,American IPA
1267,Blonde Ale
1268,American IPA
1269,American IPA
1270,American Pale Ale
1271,Imperial IPA
1272,American IPA
1273,American Pale Ale
1274,American Pale Ale
1275,Blonde Ale
1276,American Pale Ale
1277,Witbier
1278,American IPA
1279,Blonde Ale
1280,American IPA
1281,American IPA
1282,American IPA
1283,American IPA
1284,American IPA
1285,American Pale Ale
1286,American Stout
1287,American Pale Ale
1288,American IPA
1289,American Stout
1290,American IPA
1291,American Stout
1292,Saison
1293,Saison
1294,American IPA
1295,American Stout
1296,American Pale Ale
1297,American IPA
1298,American Pale Ale
1299,American IPA
1300,American Pale Ale
1301,American IPA
1302,American IPA
1303,American IPA
1304,American IPA
1305,American Stout
1306,American Pale Ale
1307,American IPA
1308,American Pale Ale
1309,American Pale Ale
1310,American Stout
1311,American Pale Ale
1312,American Pale Ale
1313,American IPA
1314,American Stout
1315,Blonde Ale
1316,American IPA
1317,American Stout
1318,American IPA
1319,American IPA
1320,American IPA
1321,American Amber Ale
1322,American IPA
1323,American Pale Ale
1324,American IPA
1325,Blonde Ale
1326,Irish Red Ale
1327,American IPA
1328,American Pale Ale
1329,American Amber Ale
1330,American Pale Ale
1331,American Pale Ale
1332,American IPA
1333,American IPA
1334,American IPA
1335,American IPA
1336,American Pale Ale
1337,American Pale Ale
1338,American Pale Ale
1339,American IPA
1340,American IPA
1341,American IPA
1342,American Pale Ale
1343,American IPA
1344,American Pale Ale
1345,American IPA
1346,American IPA
1347,American Brown Ale
1348,American IPA
1349,American IPA
1350,American Stout
1351,American IPA
1352,American Amber Ale
1353,American IPA
1354,Blonde Ale
1355,Irish Red Ale
1356,American IPA
1357,American Pale Ale
1358,American Pale Ale
1359,American Brown Ale
1360,American IPA
1361,Witbier
1362,American IPA
1363,American Pale Ale
1364,American Pale Ale
1365,American Pale Ale
1366,American Pale Ale
1367,American Pale Ale
1368,American IPA
1369,American Light Lager
1370,Saison
1371,American Stout
1372,American IPA
1373,American IPA
1374,American Brown Ale
1375,American Stout
1376,American IPA
1377,American Pale Ale
1378,Imperial IPA
1379,American IPA
1380,Saison
1381,American Pale Ale
1382,American IPA
1383,Saison
1384,American IPA
1385,Irish Red Ale
1386,American Pale Ale
1387,American Stout
1388,American Amber Ale
1389,American Pale Ale
1390,American IPA
1391,American Pale Ale
1392,American Pale Ale
1393,American Pale Ale
1394,Saison
1395,American IPA
1396,American IPA
1397,American Pale Ale
1398,American IPA
1399,Witbier
1400,Saison
1401,American Stout
1402,Imperial IPA
1403,American Pale Ale
1404,American IPA
1405,American IPA
1406,American Stout
1407,American IPA
1408,Imperial IPA
1409,American IPA
1410,American Pale Ale
1411,American Pale Ale
1412,American Pale Ale
1413,American IPA
1414,American IPA
1415,American Pale Ale
1416,American IPA
1417,American Pale Ale
1418,American IPA
1419,American Pale Ale
1420,American IPA
1421,American IPA
1422,American Pale Ale
1423,American Pale Ale
1424,Irish Red Ale
1425,Witbier
1426,American IPA
1427,American IPA
1428,American Pale Ale
1429,American IPA
1430,American IPA
1431,American IPA
1432,American Light Lager
1433,American Stout
1434,American IPA
1435,American IPA
1436,American IPA
1437,American Pale Ale
1438,American Pale Ale
1439,Imperial IPA
1440,American Pale Ale
1441,American Brown Ale
1442,American IPA
1443,American IPA
1444,American IPA
1445,Imperial IPA
1446,American Pale Ale
1447,American Brown Ale
1448,American IPA
1449,American IPA
1450,American IPA
1451,American IPA
1452,American Stout
1453,American IPA
1454,American IPA
1455,Saison
1456,Saison
1457,American IPA
1458,American Stout
1459,Blonde Ale
1460,American Pale Ale
1461,American Pale Ale
1462,Imperial IPA
1463,American IPA
1464,Saison
1465,American Pale Ale
1466,American IPA
1467,Saison
1468,American IPA
1469,American IPA
1470,Saison
1471,American IPA
1472,American Pale Ale
1473,American IPA
1474,Imperial IPA
1475,American Amber Ale
1476,American IPA
1477,Blonde Ale
1478,American Pale Ale
1479,American Pale Ale
1480,American IPA
1481,American IPA
1482,American IPA
1483,American Pale Ale
1484,American IPA
1485,Imperial IPA
1486,American IPA
1487,American Pale Ale
1488,American Pale Ale
1489,American IPA
1490,Saison
1491,American Pale Ale
1492,American IPA
1493,American IPA
1494,American Pale Ale
1495,American Pale Ale
1496,American IPA
1497,American Amber Ale
1498,Blonde Ale
1499,American IPA
1500,American Pale Ale
1501,Irish Red Ale
1502,American IPA
1503,American IPA
1504,American Pale Ale
1505,American Pale Ale
1506,American Amber Ale
1507,American IPA
1508,American IPA
1509,American Pale Ale
1510,American IPA
1511,American IPA
1512,American Pale Ale
1513,American Stout
1514,American IPA
1515,American IPA
1516,American Pale Ale
1517,American Pale Ale
1518,Blonde Ale
1519,American Brown Ale
1520,American IPA
1521,American Pale Ale
1522,American IPA
1523,Irish Red Ale
1524,American Pale Ale
1525,American IPA
1526,American IPA
1527,American IPA
1528,American IPA
1529,Saison
1530,American Amber Ale
1531,American IPA
1532,American IPA
1533,Saison
1534,American IPA
1535,American IPA
1536,American IPA
1537,American Amber Ale
1538,American Pale Ale
1539,Imperial IPA
1540,American Pale Ale
1541,Blonde Ale
1542,American IPA
1543,American IPA
1544,Blonde Ale
1545,American Pale Ale
1546,American Pale Ale
1547,American Pale Ale
1548,American IPA
1549,American Pale Ale
1550,American Pale Ale
1551,American Pale Ale
1552,American Stout
1553,Imperial IPA
1554,American IPA
1555,American Pale Ale
1556,American Stout
1557,American Light Lager
1558,American Stout
1559,American IPA
1560,American IPA
1561,American Pale Ale
1562,American Pale Ale
1563,Saison
1564,American Stout
1565,American Light Lager
1566,American Pale Ale
1567,American IPA
1568,American IPA
1569,American IPA
1570,Irish Red Ale
1571,American Brown Ale
1572,American Light Lager
1573,American Pale Ale
1574,American Pale Ale
1575,American Pale Ale
1576,American IPA
1577,American Pale Ale
1578,American Pale Ale
1579,American IPA
1580,American IPA
1581,American Amber Ale
1582,Saison
1583,Witbier
1584,American Pale Ale
1585,Imperial IPA
1586,American IPA
1587,American Stout
1588,American Amber Ale
1589,Witbier
1590,Saison
1591,Saison
1592,Saison
1593,American Pale Ale
1594,American IPA
1595,American Pale Ale
1596,American Stout
1597,American Pale Ale
1598,American Amber Ale
1599,American IPA
1600,Saison
1601,Saison
1602,American Pale Ale
1603,Saison
1604,American IPA
